index,c1D,c2D,tot_c2D,f1D,f2D,area,mass,n_frags,lat_min,lat_max,lon_min,lon_max,drag,heat_flux,heat_flux_CT,heat_flux_TR,heat_flux_FM,density
source_0829_133953_300_184,1.0929160640873333e-05,0.0,0.0,9.931440865029728e-06,0.0,17.163580639699056,142.70742386494237,12,-54.24322000521463,-38.64667743291074,-117.15835782059192,-111.77675996108435,1.0,1.0,1.1343476500879754,0.9116338227454903,0.9529734036063578,0.8760658878374631
source_0829_133953_300_185,3.9926651559304215e-05,0.0,0.0,1.704371874100552e-05,0.0,15.12956827694223,111.10834742253606,9,-53.30147370182226,-37.86496098890303,-116.74495168852684,-111.56425656898112,1.0,1.0,1.2300884094073674,0.8152929497468827,1.0337042905777674,0.9627274187119437
source_0829_133953_300_186,1.677227217973513e-05,0.0,0.0,1.6137328378129645e-05,0.0,18.759570589384353,150.32472775751538,13,-52.431945012316824,-37.99856112824743,-116.37523417428744,-111.59904481350434,1.0,1.0,1.078422339523312,0.9858125338949053,1.0548555877989123,1.09288323918918
source_0829_133953_300_187,2.2963253049563568e-06,0.0,0.0,2.1113246169157662e-06,0.0,25.516202713087875,230.30940226506905,20,-54.12379979273917,-40.475618055928884,-117.10487051543117,-112.28649784198151,1.0,1.0,0.7768299473154794,0.7298227629617465,0.9310381768503451,0.8883722744626443
source_0829_133953_300_188,3.580607739228233e-05,0.0,0.0,3.441018396632689e-05,0.0,18.759570589384353,150.32811969400757,13,-52.422496178211794,-37.88969416417463,-116.37130047402655,-111.5696608423875,1.0,1.0,1.0716788381583493,1.1137356414570845,0.986848350845381,1.0942048198542478
source_0829_133953_300_189,5.170323385898001e-06,0.0,0.0,8.712018315648606e-07,0.0,15.12956827694223,88.96520656240801,9,-52.61642029159578,-37.1282216784832,-116.45406478213735,-111.36717806360095,1.0,1.0,1.2915465871705214,0.9508301413651202,0.96172042810857,1.0335959555449798
source_0829_133953_300_19,4.048504138419946e-05,0.0,0.0,1.9447969882846472e-05,0.0,15.12956827694223,105.07400144921769,9,-52.92065140489949,-37.78339013951731,-116.58203842035337,-111.54212030424411,1.0,1.0,1.2494743122716814,0.6518149627038656,1.018280832547598,1.0057159703929657
source_0829_133953_300_190,4.923334491489035e-06,0.0,0.0,1.7878718550079498e-06,0.0,12.905025756461974,102.1651340714432,7,-54.21166563292069,-38.30278219230659,-117.14604151831657,-111.68354925429631,1.0,1.0,1.2675871510220664,0.6144042826315774,1.0522965220577367,0.8534441000533766
source_0829_133953_300_191,1.997787643563296e-06,0.0,0.0,1.9628077995159643e-06,0.0,18.759570589384353,157.5272730153156,13,-54.67932427858169,-39.55626352647717,-117.35605528028557,-112.02816547003054,1.0,1.0,0.9886665130791005,1.0058111043321216,0.9005816053387523,0.8331414452370834
source_0829_133953_300_192,3.7820667077222385e-06,0.0,0.0,3.5886986763378204e-06,0.0,25.516202713087875,233.42332601199973,20,-53.90399294102193,-40.37228574170782,-117.0071354525401,-112.25685171286096,1.0,1.0,0.7719225051833231,0.7402324900747068,1.0904036039508873,0.9116943637160853
